GroupLevel_0,GroupLevel_1,GroupLevel_2,Dataset,Size,Shape,DataType
 , , ,dataValue4,785,"(785,)",float64
 , , ,fileCount,1,"(1,)",int32
 , , ,fileName,1,"(1,)",|S17
 , , ,fileReadDelay,1,"(1,)",int64
 , , ,headerName,100,"(100,)",|S1
 , , ,headerValue,100,"(100,)",|S1
 , , ,nPixels,1,"(1,)",int32
 ,TT41.AWAKE-eBLM-pico3, , , , , 
 , ,FileRead, , , , 
 , , ,FileTime,1,"(1,)",int64
 , , ,dataAcquisitionTime,1,"(1,)",int64
 , , ,dataAxis,785,"(785,)",float64
 , , ,dataValue1,785,"(785,)",float64
 , , ,dataValue2,785,"(785,)",float64
 , , ,dataValue3,785,"(785,)",float64
 , , ,dataValue4,785,"(785,)",float64
 , , ,fileCount,1,"(1,)",int32
 , , ,fileName,1,"(1,)",|S17
 , , ,fileReadDelay,1,"(1,)",int64
 , , ,headerName,100,"(100,)",|S1
 , , ,headerValue,100,"(100,)",|S1
 , , ,nPixels,1,"(1,)",int32
 ,TT41.BCTF.412340, , , , , 
 , ,Acquisition, , , , 
 , , ,acqTime,1,"(1,)",|S26
 , , ,beamDestinationStr,1,"(1,)",|S5
 , , ,beamID,1,"(1,)",int32
 , , ,calResultCh1,2,"(2,)",int32
 , , ,calResultCh2,2,"(2,)",int32
 , , ,calStatusCh1,1,"(1,)",int16
 , , ,calStatusCh2,1,"(1,)",int16
 , , ,calibrationFactorCh1,1,"(1,)",float32
 , , ,calibrationFactorCh2,1,"(1,)",float32
 , , ,calibratorIMeasuredCh1,1,"(1,)",float32
 , , ,calibratorIMeasuredCh2,1,"(1,)",float32
 , , ,calibratorVActual,1,"(1,)",float32
 , , ,commonStatus,1,"(1,)",int16
 , , ,cycleTime,1,"(1,)",|S26
 , , ,descriptionCh1,1,"(1,)",|S1
 , , ,descriptionCh2,1,"(1,)",|S1
 , , ,inputOffsetCh1,1,"(1,)",int32
 , , ,inputOffsetCh2,1,"(1,)",int32
 , , ,measResultCh1,32,"(32,)",int32
 , , ,measResultCh2,32,"(32,)",int32
 , , ,measStatusCh1,1,"(1,)",int16
 , , ,measStatusCh2,1,"(1,)",int16
 , , ,nbOfMeas,1,"(1,)",int32
 , , ,totalCurrentPreferred,1,"(1,)",float32
 , , ,totalIntensityAutoCh1,1,"(1,)",float32
 , , ,totalIntensityAutoCh2,1,"(1,)",float32
 , , ,totalIntensityCalcCh1,1,"(1,)",float32
 , , ,totalIntensityCalcCh2,1,"(1,)",float32
 , , ,totalIntensityPreferred,1,"(1,)",float32
 , , ,totalIntensity_unit,1,"(1,)",int32
 , , ,totalIntensity_unitExponent,1,"(1,)",int32
 ,TT41.BPM.412343, , , , , 
 , ,Acquisition, , , , 
 , , ,horAvePos,1,"(1,)",float32
 , , ,horPos,12,"(12,)",float32
 , , ,posOK,1,"(1,)",Custom Datatype
 , , ,sigma,12,"(12,)",int32
 , , ,sigmaAvePos,1,"(1,)",float32
 , , ,spsExtraction,1,(),bool
 , , ,spsExtractionIndex,1,"(1,)",int32
 , , ,verAvePos,1,"(1,)",float32
 , , ,verPos,12,"(12,)",float32
 ,TT41.BPM.412345, , , , , 
 , ,Acquisition, , , , 
 , , ,horAvePos,1,"(1,)",float32
 , , ,horPos,12,"(12,)",float32
 , , ,posOK,1,"(1,)",Custom Datatype
 , , ,sigma,12,"(12,)",int32
 , , ,sigmaAvePos,1,"(1,)",float32
 , , ,spsExtraction,1,(),bool
 , , ,spsExtractionIndex,1,"(1,)",int32
 , , ,verAvePos,1,"(1,)",float32
 , , ,verPos,12,"(12,)",float32
 ,TT41.BPM.412347, , , , , 
 , ,Acquisition, , , , 
 , , ,horAvePos,1,"(1,)",float32
 , , ,horPos,12,"(12,)",float32
 , , ,posOK,1,"(1,)",Custom Datatype
 , , ,sigma,12,"(12,)",int32
 , , ,sigmaAvePos,1,"(1,)",float32
 , , ,spsExtraction,1,(),bool
 , , ,spsExtractionIndex,1,"(1,)",int32
 , , ,verAvePos,1,"(1,)",float32
 , , ,verPos,12,"(12,)",float32
 ,TT41.BPM.412349, , , , , 
 , ,Acquisition, , , , 
 , , ,horAvePos,1,"(1,)",float32
 , , ,horPos,12,"(12,)",float32
 , , ,posOK,1,"(1,)",Custom Datatype
 , , ,sigma,12,"(12,)",int32
 , , ,sigmaAvePos,1,"(1,)",float32
 , , ,spsExtraction,1,(),bool
 , , ,spsExtractionIndex,1,"(1,)",int32
 , , ,verAvePos,1,"(1,)",float32
 , , ,verPos,12,"(12,)",float32
 ,TT41.BPM.412349_HF, , , , , 
 , ,Acquisition, , , , 
 , , ,horAvePos,1,"(1,)",float32
 , , ,horPos,12,"(12,)",float32
 , , ,posOK,0,"(0,)",Custom Datatype
 , , ,sigma,12,"(12,)",int32
 , , ,sigmaAvePos,1,"(1,)",float32
 , , ,spsExtraction,1,(),bool
 , , ,spsExtractionIndex,1,"(1,)",int32
 , , ,verAvePos,1,"(1,)",float32
 , , ,verPos,12,"(12,)",float32
 ,TT41.BPM.412351, , , , , 
 , ,Acquisition, , , , 
 , , ,horAvePos,1,"(1,)",float32
 , , ,horPos,12,"(12,)",float32
 , , ,posOK,1,"(1,)",Custom Datatype
 , , ,sigma,12,"(12,)",int32
 , , ,sigmaAvePos,1,"(1,)",float32
 , , ,spsExtraction,1,(),bool
 , , ,spsExtractionIndex,1,"(1,)",int32
 , , ,verAvePos,1,"(1,)",float32
 , , ,verPos,12,"(12,)",float32
 ,TT41.BPM.412351_HF, , , , , 
 , ,Acquisition, , , , 
 , , ,horAvePos,1,"(1,)",float32
 , , ,horPos,12,"(12,)",float32
 , , ,posOK,0,"(0,)",Custom Datatype
 , , ,sigma,12,"(12,)",int32
 , , ,sigmaAvePos,1,"(1,)",float32
 , , ,spsExtraction,1,(),bool
 , , ,spsExtractionIndex,1,"(1,)",int32
 , , ,verAvePos,1,"(1,)",float32
 , , ,verPos,12,"(12,)",float32
 ,TT41.BTV.412350, , , , , 
 , ,Acquisition, , , , 
 , , ,acqCounter,1,"(1,)",int32
 , , ,acqDesc,1,"(1,)",|S7
 , , ,acqMsg,1,"(1,)",|S2
 , , ,acqState,1,"(1,)",int32
 , , ,acqTime,1,"(1,)",|S26
 , , ,acqTimeInCycle,1,"(1,)",float64
 , , ,amplitudeSet1,1,"(1,)",float64
 , , ,amplitudeSet2,1,"(1,)",float64
 , , ,beamID,1,"(1,)",int32
 , , ,cameraOffset,1,"(1,)",int16
 , , ,cameraOffset_max,1,"(1,)",int16
 , , ,cameraOffset_min,1,"(1,)",int16
 , , ,cameraSwitch,1,"(1,)",int32
 , , ,cameraZoom,1,"(1,)",int32
 , , ,cycleTime,1,"(1,)",|S26
 , , ,descSet1,1,"(1,)",|S21
 , , ,descSet2,1,"(1,)",|S19
 , , ,deviceName,1,"(1,)",|S15
 , , ,filterSelect,1,"(1,)",int32
 , , ,filterSelectStr,4,"(4,)",|S9
 , , ,filterSelect_max,1,"(1,)",int32
 , , ,filterSelect_min,1,"(1,)",int32
 , , ,firstLamp,1,"(1,)",int16
 , , ,firstLamp_max,1,"(1,)",int16
 , , ,firstLamp_min,1,"(1,)",int16
 , , ,leftBottomReference,2,"(2,)",int16
 , , ,leftTopReference,2,"(2,)",int16
 , , ,mire,1,"(1,)",int32
 , , ,nbAcq,1,"(1,)",int32
 , , ,nbDataSets,1,"(1,)",int32
 , , ,nbGates,1,"(1,)",int32
 , , ,nbPtsPerProjInSet1,1,"(1,)",int32
 , , ,nbPtsPerProjInSet2,1,"(1,)",int32
 , , ,observables,1,"(1,)",int32
 , , ,offsetCalSet1,4,"(4,)",float64
 , , ,offsetCalSet2,4,"(4,)",float64
 , , ,offsetSet1,1,"(1, 1)",float64
 , , ,offsetSet2,1,"(1, 1)",float64
 , , ,pixelCalSet1,4,"(4,)",float64
 , , ,pixelCalSet2,4,"(4,)",float64
 , , ,planeSet1,1,"(1,)",int32
 , , ,planeSet2,1,"(1,)",int32
 , , ,positionSet1,1,"(1,)",float64
 , , ,positionSet2,1,"(1,)",float64
 , , ,projDataSet1,400,"(1, 400)",float64
 , , ,projDataSet2,300,"(1, 300)",float64
 , , ,projPositionSet1,400,"(1, 400)",float64
 , , ,projPositionSet2,300,"(1, 300)",float64
 , , ,propType,1,"(1,)",int32
 , , ,rightBottomReference,2,"(2,)",int16
 , , ,rightTopReference,2,"(2,)",int16
 , , ,saturationThreshold,1,"(1,)",int16
 , , ,screenSelect,1,"(1,)",int32
 , , ,screenSelectStr,4,"(4,)",|S10
 , , ,screenSelect_max,1,"(1,)",int32
 , , ,screenSelect_min,1,"(1,)",int32
 , , ,secondLamp,1,"(1,)",int16
 , , ,secondLamp_max,1,"(1,)",int16
 , , ,secondLamp_min,1,"(1,)",int16
 , , ,sigmaSet1,1,"(1,)",float64
 , , ,sigmaSet2,1,"(1,)",float64
 , , ,superCycleNb,1,"(1,)",int32
 , , ,tgSet1,1,"(1, 1)",float64
 , , ,tgSet2,1,"(1, 1)",float64
 , , ,userImageSelection,1,"(1,)",Custom Datatype
 , , ,userImageSelectionNumber,1,"(1,)",int16
 , , ,videoGain,1,"(1,)",int32
 , ,Image, , , , 
 , , ,acqCounter,1,"(1,)",int32
 , , ,acqDesc,1,"(1,)",|S7
 , , ,acqMsg,1,"(1,)",|S2
 , , ,acqState,1,"(1,)",int32
 , , ,acqTime,1,"(1,)",|S26
 , , ,acqTimeInCycle,1,"(1,)",float64
 , , ,amplitudeSet1,1,"(1,)",float64
 , , ,amplitudeSet2,1,"(1,)",float64
 , , ,beamID,1,"(1,)",int32
 , , ,cameraOffset,1,"(1,)",int16
 , , ,cameraOffset_max,1,"(1,)",int16
 , , ,cameraOffset_min,1,"(1,)",int16
 , , ,cameraSwitch,1,"(1,)",int32
 , , ,cameraZoom,1,"(1,)",int32
 , , ,cycleTime,1,"(1,)",|S26
 , , ,descSet1,1,"(1,)",|S21
 , , ,descSet2,1,"(1,)",|S19
 , , ,deviceName,1,"(1,)",|S15
 , , ,filterSelect,1,"(1,)",int32
 , , ,filterSelectStr,4,"(4,)",|S9
 , , ,filterSelect_max,1,"(1,)",int32
 , , ,filterSelect_min,1,"(1,)",int32
 , , ,firstLamp,1,"(1,)",int16
 , , ,firstLamp_max,1,"(1,)",int16
 , , ,firstLamp_min,1,"(1,)",int16
 , , ,imagePositionSet1,400,"(1, 400)",float64
 , , ,imagePositionSet1_unit,1,"(1,)",|S2
 , , ,imagePositionSet2,300,"(1, 300)",float64
 , , ,imagePositionSet2_unit,1,"(1,)",|S2
 , , ,imageSet,120000,"(1, 120000)",int16
 , , ,leftBottomReference,2,"(2,)",int16
 , , ,leftTopReference,2,"(2,)",int16
 , , ,mire,1,"(1,)",int32
 , , ,nbAcq,1,"(1,)",int32
 , , ,nbDataSets,1,"(1,)",int32
 , , ,nbImages,1,"(1,)",int32
 , , ,nbPtsInSet1,1,"(1,)",int32
 , , ,nbPtsInSet2,1,"(1,)",int32
 , , ,observables,1,"(1,)",int32
 , , ,offsetCalSet1,4,"(4,)",float64
 , , ,offsetCalSet2,4,"(4,)",float64
 , , ,pixelCalSet1,4,"(4,)",float64
 , , ,pixelCalSet2,4,"(4,)",float64
 , , ,planeSet1,1,"(1,)",int32
 , , ,planeSet2,1,"(1,)",int32
 , , ,positionSet1,1,"(1,)",float64
 , , ,positionSet2,1,"(1,)",float64
 , , ,propType,1,"(1,)",int32
 , , ,rightBottomReference,2,"(2,)",int16
 , , ,rightTopReference,2,"(2,)",int16
 , , ,saturationThreshold,1,"(1,)",int16
 , , ,screenSelect,1,"(1,)",int32
 , , ,screenSelectStr,4,"(4,)",|S10
 , , ,screenSelect_max,1,"(1,)",int32
 , , ,screenSelect_min,1,"(1,)",int32
 , , ,secondLamp,1,"(1,)",int16
 , , ,secondLamp_max,1,"(1,)",int16
 , , ,secondLamp_min,1,"(1,)",int16
 , , ,sigmaSet1,1,"(1,)",float64
 , , ,sigmaSet2,1,"(1,)",float64
 , , ,superCycleNb,1,"(1,)",int32
 , , ,userImageSelection,1,"(1,)",Custom Datatype
 , , ,userImageSelectionNumber,1,"(1,)",int16
 , , ,videoGain,1,"(1,)",int32
 ,TT41.BTV.412350.STREAK, , , , , 
 , , ,StreakImage,1,(),|S105
 ,TT41.BTV.412353, , , , , 
 , ,Acquisition, , , , 
 , , ,acqCounter,1,"(1,)",int32
 , , ,acqDesc,1,"(1,)",|S7
 , , ,acqMsg,1,"(1,)",|S2
 , , ,acqState,1,"(1,)",int32
 , , ,acqTime,1,"(1,)",|S26
 , , ,acqTimeInCycle,1,"(1,)",float64
 , , ,amplitudeSet1,1,"(1,)",float64
 , , ,amplitudeSet2,1,"(1,)",float64
 , , ,beamID,1,"(1,)",int32
 , , ,cameraOffset,1,"(1,)",int16
 , , ,cameraOffset_max,1,"(1,)",int16
 , , ,cameraOffset_min,1,"(1,)",int16
 , , ,cameraSwitch,1,"(1,)",int32
 , , ,cameraZoom,1,"(1,)",int32
 , , ,cycleTime,1,"(1,)",|S26
 , , ,descSet1,1,"(1,)",|S21
 , , ,descSet2,1,"(1,)",|S19
 , , ,deviceName,1,"(1,)",|S15
 , , ,filterSelect,1,"(1,)",int32
 , , ,filterSelectStr,4,"(4,)",|S9
 , , ,filterSelect_max,1,"(1,)",int32
 , , ,filterSelect_min,1,"(1,)",int32
 , , ,firstLamp,1,"(1,)",int16
 , , ,firstLamp_max,1,"(1,)",int16
 , , ,firstLamp_min,1,"(1,)",int16
 , , ,leftBottomReference,2,"(2,)",int16
 , , ,leftTopReference,2,"(2,)",int16
 , , ,mire,1,"(1,)",int32
 , , ,nbAcq,1,"(1,)",int32
 , , ,nbDataSets,1,"(1,)",int32
 , , ,nbGates,1,"(1,)",int32
 , , ,nbPtsPerProjInSet1,1,"(1,)",int32
 , , ,nbPtsPerProjInSet2,1,"(1,)",int32
 , , ,observables,1,"(1,)",int32
 , , ,offsetCalSet1,4,"(4,)",float64
 , , ,offsetCalSet2,4,"(4,)",float64
 , , ,offsetSet1,1,"(1, 1)",float64
 , , ,offsetSet2,1,"(1, 1)",float64
 , , ,pixelCalSet1,4,"(4,)",float64
 , , ,pixelCalSet2,4,"(4,)",float64
 , , ,planeSet1,1,"(1,)",int32
 , , ,planeSet2,1,"(1,)",int32
 , , ,positionSet1,1,"(1,)",float64
 , , ,positionSet2,1,"(1,)",float64
 , , ,projDataSet1,400,"(1, 400)",float64
 , , ,projDataSet2,300,"(1, 300)",float64
 , , ,projPositionSet1,400,"(1, 400)",float64
 , , ,projPositionSet2,300,"(1, 300)",float64
 , , ,propType,1,"(1,)",int32
 , , ,rightBottomReference,2,"(2,)",int16
 , , ,rightTopReference,2,"(2,)",int16
 , , ,saturationThreshold,1,"(1,)",int16
 , , ,screenSelect,1,"(1,)",int32
 , , ,screenSelectStr,4,"(4,)",|S10
 , , ,screenSelect_max,1,"(1,)",int32
 , , ,screenSelect_min,1,"(1,)",int32
 , , ,secondLamp,1,"(1,)",int16
 , , ,secondLamp_max,1,"(1,)",int16
 , , ,secondLamp_min,1,"(1,)",int16
 , , ,sigmaSet1,1,"(1,)",float64
 , , ,sigmaSet2,1,"(1,)",float64
 , , ,superCycleNb,1,"(1,)",int32
 , , ,tgSet1,1,"(1, 1)",float64
 , , ,tgSet2,1,"(1, 1)",float64
 , , ,userImageSelection,1,"(1,)",Custom Datatype
 , , ,userImageSelectionNumber,1,"(1,)",int16
 , , ,videoGain,1,"(1,)",int32
 , ,Image, , , , 
 , , ,acqCounter,1,"(1,)",int32
 , , ,acqDesc,1,"(1,)",|S7
 , , ,acqMsg,1,"(1,)",|S2
 , , ,acqState,1,"(1,)",int32
 , , ,acqTime,1,"(1,)",|S26
 , , ,acqTimeInCycle,1,"(1,)",float64
 , , ,amplitudeSet1,1,"(1,)",float64
 , , ,amplitudeSet2,1,"(1,)",float64
 , , ,beamID,1,"(1,)",int32
 , , ,cameraOffset,1,"(1,)",int16
 , , ,cameraOffset_max,1,"(1,)",int16
 , , ,cameraOffset_min,1,"(1,)",int16
 , , ,cameraSwitch,1,"(1,)",int32
 , , ,cameraZoom,1,"(1,)",int32
 , , ,cycleTime,1,"(1,)",|S26
 , , ,descSet1,1,"(1,)",|S21
 , , ,descSet2,1,"(1,)",|S19
 , , ,deviceName,1,"(1,)",|S15
 , , ,filterSelect,1,"(1,)",int32
 , , ,filterSelectStr,4,"(4,)",|S9
 , , ,filterSelect_max,1,"(1,)",int32
 , , ,filterSelect_min,1,"(1,)",int32
 , , ,firstLamp,1,"(1,)",int16
 , , ,firstLamp_max,1,"(1,)",int16
 , , ,firstLamp_min,1,"(1,)",int16
 , , ,imagePositionSet1,400,"(1, 400)",float64
 , , ,imagePositionSet1_unit,1,"(1,)",|S2
 , , ,imagePositionSet2,300,"(1, 300)",float64
 , , ,imagePositionSet2_unit,1,"(1,)",|S2
 , , ,imageSet,120000,"(1, 120000)",int16
 , , ,leftBottomReference,2,"(2,)",int16
 , , ,leftTopReference,2,"(2,)",int16
 , , ,mire,1,"(1,)",int32
 , , ,nbAcq,1,"(1,)",int32
 , , ,nbDataSets,1,"(1,)",int32
 , , ,nbImages,1,"(1,)",int32
 , , ,nbPtsInSet1,1,"(1,)",int32
 , , ,nbPtsInSet2,1,"(1,)",int32
 , , ,observables,1,"(1,)",int32
 , , ,offsetCalSet1,4,"(4,)",float64
 , , ,offsetCalSet2,4,"(4,)",float64
 , , ,pixelCalSet1,4,"(4,)",float64
 , , ,pixelCalSet2,4,"(4,)",float64
 , , ,planeSet1,1,"(1,)",int32
 , , ,planeSet2,1,"(1,)",int32
 , , ,positionSet1,1,"(1,)",float64
 , , ,positionSet2,1,"(1,)",float64
 , , ,propType,1,"(1,)",int32
 , , ,rightBottomReference,2,"(2,)",int16
 , , ,rightTopReference,2,"(2,)",int16
 , , ,saturationThreshold,1,"(1,)",int16
 , , ,screenSelect,1,"(1,)",int32
 , , ,screenSelectStr,4,"(4,)",|S10
 , , ,screenSelect_max,1,"(1,)",int32
 , , ,screenSelect_min,1,"(1,)",int32
 , , ,secondLamp,1,"(1,)",int16
 , , ,secondLamp_max,1,"(1,)",int16
 , , ,secondLamp_min,1,"(1,)",int16
 , , ,sigmaSet1,1,"(1,)",float64
 , , ,sigmaSet2,1,"(1,)",float64
 , , ,superCycleNb,1,"(1,)",int32
 , , ,userImageSelection,1,"(1,)",Custom Datatype
 , , ,userImageSelectionNumber,1,"(1,)",int16
 , , ,videoGain,1,"(1,)",int32
 ,TT41.BTV.412426, , , , , 
 , ,Acquisition, , , , 
 , , ,acqCounter,1,"(1,)",int32
 , , ,acqDesc,1,"(1,)",|S7
 , , ,acqMsg,1,"(1,)",|S2
 , , ,acqState,1,"(1,)",int32
 , , ,acqTime,1,"(1,)",|S26
 , , ,acqTimeInCycle,1,"(1,)",float64
 , , ,amplitudeSet1,1,"(1,)",float64
 , , ,amplitudeSet2,1,"(1,)",float64
 , , ,beamID,1,"(1,)",int32
 , , ,cameraOffset,1,"(1,)",int16
 , , ,cameraOffset_max,1,"(1,)",int16
 , , ,cameraOffset_min,1,"(1,)",int16
 , , ,cameraSwitch,1,"(1,)",int32
 , , ,cameraZoom,1,"(1,)",int32
 , , ,cycleTime,1,"(1,)",|S26
 , , ,descSet1,1,"(1,)",|S21
 , , ,descSet2,1,"(1,)",|S19
 , , ,deviceName,1,"(1,)",|S15
 , , ,filterSelect,1,"(1,)",int32
 , , ,filterSelectStr,4,"(4,)",|S9
 , , ,filterSelect_max,1,"(1,)",int32
 , , ,filterSelect_min,1,"(1,)",int32
 , , ,firstLamp,1,"(1,)",int16
 , , ,firstLamp_max,1,"(1,)",int16
 , , ,firstLamp_min,1,"(1,)",int16
 , , ,leftBottomReference,2,"(2,)",int16
 , , ,leftTopReference,2,"(2,)",int16
 , , ,mire,1,"(1,)",int32
 , , ,nbAcq,1,"(1,)",int32
 , , ,nbDataSets,1,"(1,)",int32
 , , ,nbGates,1,"(1,)",int32
 , , ,nbPtsPerProjInSet1,1,"(1,)",int32
 , , ,nbPtsPerProjInSet2,1,"(1,)",int32
 , , ,observables,1,"(1,)",int32
 , , ,offsetCalSet1,4,"(4,)",float64
 , , ,offsetCalSet2,4,"(4,)",float64
 , , ,offsetSet1,1,"(1, 1)",float64
 , , ,offsetSet2,1,"(1, 1)",float64
 , , ,pixelCalSet1,4,"(4,)",float64
 , , ,pixelCalSet2,4,"(4,)",float64
 , , ,planeSet1,1,"(1,)",int32
 , , ,planeSet2,1,"(1,)",int32
 , , ,positionSet1,1,"(1,)",float64
 , , ,positionSet2,1,"(1,)",float64
 , , ,projDataSet1,400,"(1, 400)",float64
 , , ,projDataSet2,300,"(1, 300)",float64
 , , ,projPositionSet1,400,"(1, 400)",float64
 , , ,projPositionSet2,300,"(1, 300)",float64
 , , ,propType,1,"(1,)",int32
 , , ,rightBottomReference,2,"(2,)",int16
 , , ,rightTopReference,2,"(2,)",int16
 , , ,saturationThreshold,1,"(1,)",int16
 , , ,screenSelect,1,"(1,)",int32
 , , ,screenSelectStr,4,"(4,)",|S10
 , , ,screenSelect_max,1,"(1,)",int32
 , , ,screenSelect_min,1,"(1,)",int32
 , , ,secondLamp,1,"(1,)",int16
 , , ,secondLamp_max,1,"(1,)",int16
 , , ,secondLamp_min,1,"(1,)",int16
 , , ,sigmaSet1,1,"(1,)",float64
 , , ,sigmaSet2,1,"(1,)",float64
 , , ,superCycleNb,1,"(1,)",int32
 , , ,tgSet1,1,"(1, 1)",float64
 , , ,tgSet2,1,"(1, 1)",float64
 , , ,userImageSelection,1,"(1,)",Custom Datatype
 , , ,userImageSelectionNumber,1,"(1,)",int16
 , , ,videoGain,1,"(1,)",int32
 , ,Image, , , , 
 , , ,acqCounter,1,"(1,)",int32
 , , ,acqDesc,1,"(1,)",|S7
 , , ,acqMsg,1,"(1,)",|S2
 , , ,acqState,1,"(1,)",int32
 , , ,acqTime,1,"(1,)",|S26
 , , ,acqTimeInCycle,1,"(1,)",float64
 , , ,amplitudeSet1,1,"(1,)",float64
 , , ,amplitudeSet2,1,"(1,)",float64
 , , ,beamID,1,"(1,)",int32
 , , ,cameraOffset,1,"(1,)",int16
 , , ,cameraOffset_max,1,"(1,)",int16
 , , ,cameraOffset_min,1,"(1,)",int16
 , , ,cameraSwitch,1,"(1,)",int32
 , , ,cameraZoom,1,"(1,)",int32
 , , ,cycleTime,1,"(1,)",|S26
 , , ,descSet1,1,"(1,)",|S21
 , , ,descSet2,1,"(1,)",|S19
 , , ,deviceName,1,"(1,)",|S15
 , , ,filterSelect,1,"(1,)",int32
 , , ,filterSelectStr,4,"(4,)",|S9
 , , ,filterSelect_max,1,"(1,)",int32
 , , ,filterSelect_min,1,"(1,)",int32
 , , ,firstLamp,1,"(1,)",int16
 , , ,firstLamp_max,1,"(1,)",int16
 , , ,firstLamp_min,1,"(1,)",int16
 , , ,imagePositionSet1,400,"(1, 400)",float64
 , , ,imagePositionSet1_unit,1,"(1,)",|S2
 , , ,imagePositionSet2,300,"(1, 300)",float64
 , , ,imagePositionSet2_unit,1,"(1,)",|S2
 , , ,imageSet,120000,"(1, 120000)",int16
 , , ,leftBottomReference,2,"(2,)",int16
 , , ,leftTopReference,2,"(2,)",int16
 , , ,mire,1,"(1,)",int32
 , , ,nbAcq,1,"(1,)",int32
 , , ,nbDataSets,1,"(1,)",int32
 , , ,nbImages,1,"(1,)",int32
 , , ,nbPtsInSet1,1,"(1,)",int32
 , , ,nbPtsInSet2,1,"(1,)",int32
 , , ,observables,1,"(1,)",int32
 , , ,offsetCalSet1,4,"(4,)",float64
 , , ,offsetCalSet2,4,"(4,)",float64
 , , ,pixelCalSet1,4,"(4,)",float64
 , , ,pixelCalSet2,4,"(4,)",float64
 , , ,planeSet1,1,"(1,)",int32
 , , ,planeSet2,1,"(1,)",int32
 , , ,positionSet1,1,"(1,)",float64
 , , ,positionSet2,1,"(1,)",float64
 , , ,propType,1,"(1,)",int32
 , , ,rightBottomReference,2,"(2,)",int16
 , , ,rightTopReference,2,"(2,)",int16
 , , ,saturationThreshold,1,"(1,)",int16
 , , ,screenSelect,1,"(1,)",int32
 , , ,screenSelectStr,4,"(4,)",|S10
 , , ,screenSelect_max,1,"(1,)",int32
 , , ,screenSelect_min,1,"(1,)",int32
 , , ,secondLamp,1,"(1,)",int16
 , , ,secondLamp_max,1,"(1,)",int16
 , , ,secondLamp_min,1,"(1,)",int16
 , , ,sigmaSet1,1,"(1,)",float64
 , , ,sigmaSet2,1,"(1,)",float64
 , , ,superCycleNb,1,"(1,)",int32
 , , ,userImageSelection,1,"(1,)",Custom Datatype
 , , ,userImageSelectionNumber,1,"(1,)",int16
 , , ,videoGain,1,"(1,)",int32
 ,TT41.BTV.412442, , , , , 
 , , ,Acquisition,1,(),|S98
 , , ,Image,1,(),|S92
 ,TT43.BPM.430010, , , , , 
 , ,Acquisition, , , , 
 , , ,horAvePos,1,"(1,)",float32
 , , ,horPos,12,"(12,)",float32
 , , ,posOK,0,"(0,)",Custom Datatype
 , , ,sigma,12,"(12,)",int32
 , , ,sigmaAvePos,1,"(1,)",float32
 , , ,spsExtraction,1,(),bool
 , , ,spsExtractionIndex,1,"(1,)",int32
 , , ,verAvePos,1,"(1,)",float32
 , , ,verPos,12,"(12,)",float32
 ,TT43.BPM.430028, , , , , 
 , ,Acquisition, , , , 
 , , ,horAvePos,1,"(1,)",float32
 , , ,horPos,12,"(12,)",float32
 , , ,posOK,0,"(0,)",Custom Datatype
 , , ,sigma,12,"(12,)",int32
 , , ,sigmaAvePos,1,"(1,)",float32
 , , ,spsExtraction,1,(),bool
 , , ,spsExtractionIndex,1,"(1,)",int32
 , , ,verAvePos,1,"(1,)",float32
 , , ,verPos,12,"(12,)",float32
 ,TT43.BPM.430039, , , , , 
 , ,Acquisition, , , , 
 , , ,horAvePos,1,"(1,)",float32
 , , ,horPos,12,"(12,)",float32
 , , ,posOK,0,"(0,)",Custom Datatype
 , , ,sigma,12,"(12,)",int32
 , , ,sigmaAvePos,1,"(1,)",float32
 , , ,spsExtraction,1,(),bool
 , , ,spsExtractionIndex,1,"(1,)",int32
 , , ,verAvePos,1,"(1,)",float32
 , , ,verPos,12,"(12,)",float32
 ,TT43.BPM.430103, , , , , 
 , ,Acquisition, , , , 
 , , ,horAvePos,1,"(1,)",float32
 , , ,horPos,12,"(12,)",float32
 , , ,posOK,0,"(0,)",Custom Datatype
 , , ,sigma,12,"(12,)",int32
 , , ,sigmaAvePos,1,"(1,)",float32
 , , ,spsExtraction,1,(),bool
 , , ,spsExtractionIndex,1,"(1,)",int32
 , , ,verAvePos,1,"(1,)",float32
 , , ,verPos,12,"(12,)",float32
 ,TT43.BPM.430129, , , , , 
 , ,Acquisition, , , , 
 , , ,horAvePos,1,"(1,)",float32
 , , ,horPos,12,"(12,)",float32
 , , ,posOK,0,"(0,)",Custom Datatype
 , , ,sigma,12,"(12,)",int32
 , , ,sigmaAvePos,1,"(1,)",float32
 , , ,spsExtraction,1,(),bool
 , , ,spsExtractionIndex,1,"(1,)",int32
 , , ,verAvePos,1,"(1,)",float32
 , , ,verPos,12,"(12,)",float32
 ,TT43.BPM.430203, , , , , 
 , ,Acquisition, , , , 
 , , ,horAvePos,1,"(1,)",float32
 , , ,horPos,12,"(12,)",float32
 , , ,posOK,0,"(0,)",Custom Datatype
 , , ,sigma,12,"(12,)",int32
 , , ,sigmaAvePos,1,"(1,)",float32
 , , ,spsExtraction,1,(),bool
 , , ,spsExtractionIndex,1,"(1,)",int32
 , , ,verAvePos,1,"(1,)",float32
 , , ,verPos,12,"(12,)",float32
 ,TT43.BPM.430308, , , , , 
 , ,Acquisition, , , , 
 , , ,horAvePos,1,"(1,)",float32
 , , ,horPos,12,"(12,)",float32
